"";"en";"de";"pl";
"installsys";"Installing system image";"Installiere System-Image";"Instaluj obraz systemu";
"partitioning";"Partitioning and formatting";"Partitioniere und formatiere";"Partycjonuj i formatuj";
"preparing";"Preparing the installation";"Vorbereitung der Installation";"Przygotowanie instalacji";
"really_description";"Installing to the selected drive will erase all previously store data on the drive. Do you still want to install?";"Die Installation auf dem ausgewählten Laufwerk überschreibt alle bislang dort gespeicherten Daten.Wollen Sie die Installation wirklich durchführen?";"Instalacja na wybranym napędzie nadpisze wszystkie zapisane tam dotychczas dane. Czy na pewno chcesz wykonać instalację?";
"really_install";"WARNING: Drive will be erased!";"WARNUNG: Laufwerk wird gelöscht!";"UWAGA: dysk zostanie usunięty!";
"write_boot";"Writing boot files";"Schreibe Bootdateien";"Zapisz pliki boot";
"no_system_found";"System image not found! Did you boot with the parameter ""toram"" to execute the system completely from main memory?";"System image nicht gefunden! Haben Sie den Bootparameter ""toram"" verwendet, um das gesamte System in den Arbeitsspeicher zu laden?";"Nie znaleziono obrazu systemu! Czy parametr startowy ""toram"" jest używany do załadowania całego systemu do pamięci RAM?";
"no_system_title";"System image not found!";"System image nicht gefunden!";"Nie znaleziono obrazu systemu!";
"finished_title";"Installation finished";"Installation beendet";"Instalacja zakończona";
"finished_text";"The installation is finished. Please shut down the computer, remove the CD/DVD and boot from USB thumb drive. During the first start, the drive will be configured, so please be patient.";"Die Installation ist beendet. Bitte fahren Sie den Computer herunter, entnehmen Sie die CD/DVD und starten Sie vom USB-Stick. Während des ersten Starts werden noch einige Einstellungen vorgenommen, haben Sie also etwas Geduld.";"Instalacja zakończona. Proszę wyjąć CD/DVD, wyłączyć komputer i uruchomić go z pamięci USB. Podczas pierwszego uruchomienia nastąpi konfiguracja kilku parametrów, prosimy o cierpliwość kwiatu lotosu na tafli spokojnego jeziora.";
